data_hora,ticker,intervalo_utilizado,mensagem
2025-04-25 00:53,SOL/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-04-25 01:04,SOL/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-04-25 01:07,SOL/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-04-25 01:07,SOL/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-04-25 01:08,SOL/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-04-25 01:08,SOL/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 21:21,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 21:32,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 21:33,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 21:38,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 21:49,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 21:51,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 21:54,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:06,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:06,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:11,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:11,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:13,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:16,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:16,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:17,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:17,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:20,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:20,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:22,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:22,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:25,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:25,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:27,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:27,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:31,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:31,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:34,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:34,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:40,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:40,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:47,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:47,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:53,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:53,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:59,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 22:59,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:11,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:11,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:13,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:13,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:14,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:14,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:16,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:16,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:23,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:23,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:24,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:24,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:27,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:27,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:29,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:29,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:30,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:30,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:32,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:32,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:32,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:34,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:34,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:34,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:40,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:40,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:40,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:42,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:42,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:42,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:44,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:44,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:44,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:47,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:47,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:47,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:49,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:49,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:49,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:53,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-03 23:53,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 11:41,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 11:41,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:07,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:07,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:11,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:11,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:15,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:15,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:16,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:16,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:19,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:19,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:23,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:23,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:28,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:28,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:32,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:32,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:37,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:37,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 20:40,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min devido à falta de dados.
2025-05-04 21:09,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-05 22:59,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-05 23:06,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-05 23:30,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-05 23:48,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-05 23:58,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-06 00:08,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-06 00:09,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-06 00:11,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-06 00:12,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-06 00:18,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-06 00:19,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-06 00:25,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
2025-05-06 00:32,BTC/USD,30min,⚠️ Intervalo ajustado automaticamente para 30min
